SourceID,Name,Type,License,Version,DateAcquired,Description,Author
src_001,Wikipedia_Science_Dump,Encyclopedia,CC-BY-SA,2025-01,2025-02-07,Snapshot of science categories,Wikimedia Foundation
src_002,OpenStax_Physics,Textbook,CC-BY,1.0,2025-02-07,University Physics Vol 1-3,OpenStax
